17.903, 1.359, 7.183
17.967, 0.575, 6.463
17.535, 0.272, 6.159
17.327, 1.200, 5.696
17.855, 1.103, 4.815
17.535, 1.391, 5.248
17.567, 1.407, 5.343
17.439, 0.607, 4.831
17.280, 0.575, 5.087
17.231, 1.103, 4.927
17.680, 1.839, 5.711
16.911, 1.471, 5.871
17.551, 1.327, 5.952
16.847, 1.455, 4.720
17.487, 0.896, 4.895
17.887, 1.551, 6.159
16.927, 1.215, 6.703
17.439, 0.991, 5.631
17.535, 1.343, 4.783
17.616, 1.567, 4.863
17.472, 1.215, 5.679
17.616, 1.055, 5.519
17.392, 0.959, 6.368
16.927, 1.247, 7.183
17.775, 1.103, 5.952
17.808, 0.735, 5.759
17.840, 1.600, 6.415
17.551, 1.551, 6.000
17.728, 1.519, 6.527
17.455, 1.663, 6.064
17.087, 1.551, 5.727
16.911, 1.471, 5.199
17.567, 1.439, 5.471
17.728, 1.695, 5.984
17.343, 2.000, 6.287
17.551, 1.231, 5.311
17.007, 1.455, 4.800
18.063, 1.503, 5.536
17.280, 0.751, 5.567
17.087, 1.536, 6.191
17.983, 0.927, 6.768
17.759, 1.679, 6.239
17.680, 1.807, 6.623
17.487, 1.983, 5.791
18.079, 1.200, 6.400
18.079, 1.135, 5.231
17.263, 1.519, 6.015
17.903, 1.455, 7.743
17.695, 1.215, 4.975
17.392, 1.391, 6.960
17.616, 1.359, 5.839
17.936, 1.519, 5.168
17.840, 1.263, 6.303
18.271, 1.488, 5.871
17.487, 1.071, 6.255
17.903, 0.783, 6.368
17.087, 0.959, 6.527
17.903, 1.103, 5.887
17.855, 0.479, 6.863
17.215, 1.231, 5.455
18.015, 1.088, 6.671
17.663, 0.896, 6.255
17.647, 1.567, 7.231
17.503, 1.039, 6.159
17.520, 0.800, 5.935
17.215, 1.871, 5.151
16.591, 1.519, 5.679
17.023, 1.455, 5.407
17.535, 2.303, 4.687
17.408, 1.343, 6.447
16.959, 0.991, 6.352
16.880, 1.215, 3.568
16.751, 0.991, 6.271
16.975, 0.943, 5.855
16.959, 0.927, 5.279
17.295, 1.615, 5.103
16.944, 3.648, 3.552
16.319, 4.751, 3.247
17.375, 4.223, 4.720
17.023, 4.368, 2.319
16.576, 4.815, 2.271
16.639, 5.039, 4.223
16.656, 5.359, 3.759
16.880, 5.375, 3.727
16.511, 4.991, 4.320
16.031, 5.536, 3.423
16.527, 5.807, 2.400
16.208, 5.007, 3.407
15.727, 6.032, 3.519
14.959, 5.487, 4.991
15.903, 5.711, 4.400
15.839, 5.359, 3.759
15.423, 5.647, 4.335
15.503, 5.743, 3.423
15.695, 5.391, 2.655
15.072, 5.311, 4.815
15.199, 5.631, 2.655
15.328, 5.711, 4.047
15.055, 5.952, 3.839
14.767, 5.471, 4.575
14.111, 5.952, 3.423
14.223, 5.967, 3.504
14.463, 5.136, 2.303
14.383, 4.623, 3.983
13.983, 5.151, 4.911
13.503, 4.736, 4.352
13.216, 4.960, 3.151
13.247, 4.703, 2.592
12.239, 4.447, 2.863
12.463, 4.144, 2.895
12.527, 3.359, 2.943
12.143, 3.087, 5.328
11.775, 3.823, 3.504
11.807, 2.815, 4.400
11.663, 3.375, 3.599
11.823, 3.327, 4.400
11.151, 2.959, 3.727
10.911, 2.911, 1.391
11.552, 2.527, 4.287
10.607, 2.447, 3.679
10.128, 1.536, 2.400
10.719, 2.879, 3.599
10.607, 2.575, 1.663
10.191, 2.160, 2.511
10.223, 1.439, 2.943
9.807, 1.903, 2.639
10.031, 2.384, 1.887
9.232, 1.855, 2.639
10.159, 2.000, 2.063
9.791, 1.631, 3.423
9.935, 1.824, 2.543
9.472, 1.903, 4.815
9.311, 1.855, 3.791
9.455, 1.407, 3.488
9.727, 2.223, 3.791
9.359, 1.439, 3.679
8.303, 1.279, 2.992
8.671, 1.088, 2.463
7.808, 1.648, 4.368
7.376, 0.735, 3.296
7.983, 0.415, 4.480
7.487, 0.687, 4.607
7.775, 0.735, 3.615
7.008, 1.008, 4.703
7.296, 0.143, 4.831
6.527, 0.560, 4.207
5.952, 0.351, 2.943
6.447, 0.096, 4.127
6.879, 0.544, 4.303
5.759, 0.544, 4.911
5.871, -0.096, 3.839
5.919, 0.159, 4.239
6.144, 1.151, 3.648
5.519, 0.719, 2.895
